# r=4.000000e+02
# M=2.728000e+00
#  J_orb:0 E_b:1 u/M:2 E_rad:3 J_rad:4 t:5
3.977359781911865344e+00 -3.665945047608635404e-02 -5.548285060859385709e+01 1.745224690389949007e-06 1.380351921018690552e-04 2.720000000000000000e+02
3.977356721954884655e+00 -3.665956106450324326e-02 -5.430983008073462059e+01 1.820645990775505832e-06 1.437282298234314752e-04 2.751999999999999886e+02
3.977353537960622631e+00 -3.665967476237091266e-02 -5.313680955287539120e+01 1.898187936466051037e-06 1.496520384120392114e-04 2.783999999999999773e+02
3.977350182787855459e+00 -3.665979315548050649e-02 -5.196378902501613339e+01 1.978932037284690609e-06 1.558943239244329939e-04 2.816000000000000227e+02
3.977346606078120850e+00 -3.665991885202198042e-02 -5.079076849715690400e+01 2.064657078546722764e-06 1.625487780795759377e-04 2.848000000000000114e+02
3.977342829931319823e+00 -3.666005280771830743e-02 -4.961774796929766751e+01 2.156014863593462629e-06 1.695742840983270573e-04 2.880000000000000000e+02
3.977338972156521546e+00 -3.666019099296714823e-02 -4.844472744143843101e+01 2.250257203274800516e-06 1.767516586786432333e-04 2.911999999999999886e+02
3.977335115628600981e+00 -3.666032724462030962e-02 -4.727170691357920163e+01 2.343180830615465140e-06 1.839267134489451592e-04 2.943999999999999773e+02
3.977331180858398429e+00 -3.666046131884873743e-02 -4.609868638571994381e+01 2.434619454493200607e-06 1.912473376720203572e-04 2.976000000000000227e+02
3.977327039548888887e+00 -3.666059765106893104e-02 -4.492566585786071442e+01 2.527598028746907507e-06 1.989522274491456336e-04 3.008000000000000114e+02
3.977322702428180534e+00 -3.666073561460590768e-02 -4.375264533000147793e+01 2.621689160687677981e-06 2.070214231785546936e-04 3.040000000000000000e+02
3.977318239108520004e+00 -3.666087323641363527e-02 -4.257962480214224854e+01 2.715547233742450010e-06 2.153254115532965039e-04 3.071999999999999886e+02
3.977313588198010841e+00 -3.666101733354278081e-02 -4.140660427428301205e+01 2.813821475881712312e-06 2.239784119525398457e-04 3.103999999999999773e+02
3.977308640700246478e+00 -3.666117488088908166e-02 -4.023358374642376134e+01 2.921268765785037731e-06 2.331832117533631419e-04 3.136000000000000227e+02
3.977303439854498635e+00 -3.666133953724735883e-02 -3.906056321856452485e+01 3.033564402220069213e-06 2.428593644634491398e-04 3.168000000000000114e+02
3.977298114563660114e+00 -3.666150082904122420e-02 -3.788754269070529546e+01 3.143565405691321225e-06 2.527670467669882728e-04 3.200000000000000000e+02
3.977292682863899920e+00 -3.666165787069754212e-02 -3.671452216284605896e+01 3.250667815171872189e-06 2.628727024447933994e-04 3.231999999999999886e+02
3.977287071874320290e+00 -3.666181437478126248e-02 -3.554150163498682957e+01 3.357403600307350739e-06 2.733119261129852225e-04 3.263999999999999773e+02
3.977281263708601688e+00 -3.666197164404306347e-02 -3.436848110712757176e+01 3.464661237144539757e-06 2.841179952002577240e-04 3.296000000000000227e+02
3.977275294759323288e+00 -3.666213018805643264e-02 -3.319546057926834237e+01 3.572788254015003784e-06 2.952232014565829717e-04 3.328000000000000114e+02
3.977269165892161062e+00 -3.666229070390729372e-02 -3.202244005140910588e+01 3.682260064423814060e-06 3.066259342969565181e-04 3.360000000000000000e+02
3.977262849387112720e+00 -3.666245207247389309e-02 -3.084941952354987293e+01 3.792313426996332128e-06 3.183777666731930889e-04 3.391999999999999886e+02
3.977256333661037146e+00 -3.666261231299204615e-02 -2.967639899569063999e+01 3.901597460213694284e-06 3.305002489741281084e-04 3.423999999999999773e+02
3.977249599307376648e+00 -3.666277121650148713e-02 -2.850337846783138573e+01 4.009969653506294958e-06 3.430294870215787307e-04 3.456000000000000227e+02
3.977242605668167563e+00 -3.666293001651144828e-02 -2.733035793997215279e+01 4.118271260370152083e-06 3.560411247958561324e-04 3.488000000000000114e+02
3.977235333554087315e+00 -3.666308956338699965e-02 -2.615733741211291985e+01 4.227082229395044688e-06 3.695708639530803012e-04 3.520000000000000000e+02
3.977227793879380080e+00 -3.666324974358194794e-02 -2.498431688425368336e+01 4.336325122396504341e-06 3.835983985876414309e-04 3.551999999999999886e+02
3.977219985464043539e+00 -3.666340995501550515e-02 -2.381129635639445041e+01 4.445589320195838737e-06 3.981259240880361677e-04 3.583999999999999773e+02
3.977211876404660895e+00 -3.666356959431044810e-02 -2.263827582853519615e+01 4.554463319320940575e-06 4.132127966326193413e-04 3.616000000000000227e+02
3.977203422257720611e+00 -3.666372824679162840e-02 -2.146525530067596321e+01 4.662664311700392993e-06 4.289417031986639695e-04 3.648000000000000114e+02
