# r=8.000000e+02
# M=2.700297e+00
#  J_orb:0 E_b:1 u/M:2 E_rad:3 J_rad:4 t:5
4.310990857919104968e+00 -3.303714367171087241e-02 -2.366243943723255825e+02 4.453324560858618514e-05 3.267541119808508167e-04 1.880000000000000000e+02
4.310990418590615825e+00 -3.303717364400144546e-02 -2.359281746601976124e+02 4.455347913772665137e-05 3.275549649044792624e-04 1.898799999999999955e+02
4.310989995646559159e+00 -3.303720139911443809e-02 -2.352319549480696708e+02 4.457221590673718359e-05 3.283259506073712736e-04 1.917599999999999909e+02
4.310989588624320135e+00 -3.303722706460581610e-02 -2.345357352359417007e+02 4.458954202545693704e-05 3.290679123924355825e-04 1.936399999999999864e+02
4.310989197058090916e+00 -3.303725076292477608e-02 -2.338395155238137306e+02 4.460554015624023597e-05 3.297816993818684103e-04 1.955199999999999818e+02
4.310988820479304984e+00 -3.303727261153802802e-02 -2.331432958116857890e+02 4.462028959777636562e-05 3.304681657251185185e-04 1.973999999999999773e+02
4.310988458417238434e+00 -3.303729272305351572e-02 -2.324470760995578189e+02 4.463386636904018661e-05 3.311281695064281316e-04 1.992800000000000011e+02
4.310988110399462947e+00 -3.303731120534537935e-02 -2.317508563874298488e+02 4.464634329313941146e-05 3.317625719175842946e-04 2.011599999999999966e+02
4.310987775952440870e+00 -3.303732816167829350e-02 -2.310546366753019072e+02 4.465779008114343604e-05 3.323722361699200955e-04 2.030399999999999920e+02
4.310987454601995061e+00 -3.303734369083047295e-02 -2.303584169631739371e+02 4.466827341566428173e-05 3.329580266445769047e-04 2.049199999999999875e+02
4.310987145873893311e+00 -3.303735788721671313e-02 -2.296621972510459671e+02 4.467785703421329753e-05 3.335208078174188790e-04 2.067999999999999829e+02
4.310986849294327072e+00 -3.303737084101401184e-02 -2.289659775389180254e+02 4.468660181212298182e-05 3.340614433979502179e-04 2.086799999999999784e+02
4.310986564390484332e+00 -3.303738263827933619e-02 -2.282697578267900269e+02 4.469456584504774755e-05 3.345807952744699878e-04 2.105600000000000023e+02
4.310986290691026568e+00 -3.303739336107459901e-02 -2.275735381146620853e+02 4.470180453088168468e-05 3.350797226525077210e-04 2.124399999999999977e+02
4.310986027726648295e+00 -3.303740308758640332e-02 -2.268773184025340868e+02 4.470837065110160068e-05 3.355590810282921255e-04 2.143199999999999932e+02
4.310985775030547806e+00 -3.303741189224509295e-02 -2.261810986904061735e+02 4.471431445139409459e-05 3.360197213368427516e-04 2.161999999999999886e+02
4.310985532138968956e+00 -3.303741984584120106e-02 -2.254848789782781751e+02 4.471968372154594949e-05 3.364624889593217536e-04 2.180799999999999841e+02
4.310985298591663017e+00 -3.303742701564715140e-02 -2.247886592661502618e+02 4.472452387446551673e-05 3.368882228865962007e-04 2.199599999999999795e+02
4.310985073932408262e+00 -3.303743346552710791e-02 -2.240924395540222633e+02 4.472887802430122392e-05 3.372977547625295139e-04 2.218399999999999750e+02
4.310984857709465601e+00 -3.303743925605735765e-02 -2.233962198418942933e+02 4.473278706355752798e-05 3.376919080676842955e-04 2.237199999999999989e+02
4.310984649476072406e+00 -3.303744444463421748e-02 -2.227000001297663232e+02 4.473628973918696125e-05 3.380714972033218722e-04 2.255999999999999943e+02
4.310984448790881274e+00 -3.303744908558583354e-02 -2.220037804176383816e+02 4.473942272759296769e-05 3.384373267049021442e-04 2.274799999999999898e+02
4.310984255218428984e+00 -3.303745323028535463e-02 -2.213075607055104115e+02 4.474222070851991404e-05 3.387901903766177909e-04 2.293599999999999852e+02
4.310984068329551278e+00 -3.303745692725421068e-02 -2.206113409933824414e+02 4.474471643776912008e-05 3.391308705461670956e-04 2.312399999999999807e+02
4.310983887701819839e+00 -3.303746022226997786e-02 -2.199151212812544998e+02 4.474694081869565605e-05 3.394601372573052183e-04 2.331199999999999761e+02
4.310983712919929545e+00 -3.303746315846969178e-02 -2.192189015691265297e+02 4.474892297242561221e-05 3.397787475714490247e-04 2.350000000000000000e+02
